hh,member,year,state,urbrur,relationship_to_head,sex,age,marital_status,birth_date,income,weight_person
020074,5,2023,2,1,2,1,10.0,,2014-02-15,,1.89
020074,1,2023,2,1,0,1,39.0,3,1985-03-15,120714.0,1.53
060036,4,2023,6,1,2,1,20.0,1,2004-02-08,882470.0,1.67
040024,1,2023,4,1,0,2,20.0,3,2004-10-08,499247.0,1.25
040024,2,2023,4,1,1,2,33.0,2,1991-11-03,532695.0,0.55
040024,2,2023,4,1,11,2,23.0,3,2001-07-26,602392.0,0.64
050069,5,2023,5,2,4,2,16.0,1,2008-01-02,,1.96
060036,3,2023,6,1,2,2,24.0,1,2000-11-17,710656.0,0.8
020074,3,2023,2,1,2,1,16.0,1,2008-12-06,265437.0,1.69
050069,2,2023,5,2,1,2,60.0,2,1964-06-19,,1.31
020118,1,2023,2,1,0,1,27.0,2,1997-04-11,127840.0,0.59
060041,5,2023,6,1,2,1,8.0,,2016-07-03,,1.59
020118,5,2023,2,1,2,2,3.0,,2021-10-20,,1.64
020074,6,2023,2,1,2,2,8.0,,2016-05-11,,0.75
060036,5,2023,6,1,2,1,18.0,1,2006-05-05,217257.0,1.17
040024,4,2023,4,1,2,1,14.0,1,2010-04-26,745004.0,1.97
060036,6,2023,6,1,2,1,16.0,1,2008-05-05,970691.0,0.58
020074,4,2023,2,1,2,2,13.0,1,2011-12-08,296508.0,1.22
020100,3,2023,2,1,2,2,21.0,1,2003-07-12,562010.0,1.79
020118,4,2023,2,1,2,2,5.0,,2019-07-09,,1.56
050069,6,2023,5,2,4,1,13.0,1,2011-04-02,,0.97
040024,5,2023,4,1,10,2,18.0,1,2006-11-18,357288.0,0.84
040024,5,2023,4,1,2,1,9.0,,2015-03-19,,1.99
020100,2,2023,2,1,1,2,41.0,2,1983-02-08,413703.0,1.37
020100,6,2023,2,1,2,1,10.0,,2014-01-01,,1.03
060041,1,2023,6,1,0,2,31.0,2,1993-10-02,197729.0,1.67
050069,1,2023,5,2,0,1,67.0,2,1957-04-25,,0.99
060041,4,2023,6,1,2,2,17.0,1,2007-01-23,132413.0,1.67
060041,3,2023,6,1,10,1,,1,,,1.19
020118,2,2023,2,1,1,2,22.0,2,2002-12-19,831287.0,1.77
020074,2,2023,2,1,1,2,21.0,2,2003-10-14,705452.0,1.34
020100,5,2023,2,1,2,2,16.0,1,2008-10-03,754347.0,0.86
020118,3,2023,2,1,2,2,8.0,,2016-12-12,,1.7
040024,3,2023,4,1,11,2,7.0,,2017-10-20,,1.83
020100,4,2023,2,1,2,1,19.0,2,2005-08-10,582465.0,1.06
060036,1,2023,6,1,0,1,42.0,2,1982-08-08,242631.0,0.63
020100,1,2023,2,1,0,1,45.0,3,1979-03-14,142280.0,0.78
060041,2,2023,6,1,2,1,20.0,1,2004-02-27,255800.0,1.19
050069,4,2023,5,2,2,2,20.0,1,2004-06-02,,0.74
040024,4,2023,4,1,10,2,9.0,,2015-01-27,,1.38
040024,6,2023,4,1,2,2,11.0,,2013-02-06,,0.88
050069,3,2023,5,2,2,2,30.0,2,1994-07-19,,1.62
060036,2,2023,6,1,1,2,40.0,2,1984-06-28,436055.0,1.43
060041,4,2023,6,1,2,2,17.0,1,2007-01-23,132413.0,1.67
060041,6,2023,6,1,2,1,1.0,,2023-05-20,,1.25
040024,6,2023,4,1,10,1,12.0,1,2012-07-26,,1.35
040024,1,2023,4,1,0,1,37.0,2,1987-04-18,624879.0,1.39
040024,3,2023,4,1,2,2,17.0,1,2007-04-09,345194.0,1.46
